rank,brandName,productName,finalPrice,discountRatio,url
1,썬번프로젝트,"FAUX LEATHER HIGH NECK JUMPER, BLACK",197100,10,https://www.musinsa.com/products/5957597
2,워크온바디오프,[기모/사계절] 릴렉스 세미 와이드 데님 팬츠 (5color),25920,61,https://www.musinsa.com/products/5717317
3,노스페이스,빅샷 25L/30L (3 color),147250,5,https://www.musinsa.com/products/5920951
4,에이티즈,ATEEZ(에이티즈) [GOLDEN HOUR : Part.4] (DIARY VER.),18600,0,https://www.musinsa.com/products/5968439
5,룰루레몬,디파인 재킷 *Nulu  BONE,129000,30,https://www.musinsa.com/products/5737949
6,스탠드오일,Velow Bag · 벨로우백,119000,0,https://www.musinsa.com/products/5303309
7,쿠어,고트스킨 블루종 (블랙),522000,10,https://www.musinsa.com/products/5937694
8,탄산마그네슘,마운틴 롱슬리브 (화이트/레드),39330,43,https://www.musinsa.com/products/5432652
9,엘무드,세인트 램스킨 레더 보머 자켓 블랙,535500,10,https://www.musinsa.com/products/5316905
10,스컬프터,Cross Stud Strap Wallet Pink,98100,10,https://www.musinsa.com/products/5909873
11,에이티즈,ATEEZ(에이티즈) [GOLDEN HOUR : Part.4] (A VER.),18600,0,https://www.musinsa.com/products/5968160
12,푸마,스피드캣 TTF - 다크초콜릿:아이보리 / 403903-01,159000,0,https://www.musinsa.com/products/5825888
13,무신사 스탠다드 우먼,우먼즈 신세틱 스웨이드 하이넥 블루종 재킷 [브라운],129900,0,https://www.musinsa.com/products/5151474
14,디미트리블랙,[기모선택] VLAD 원턱 커브드 트랙 스웻 팬츠_피그먼트 차콜,27990,26,https://www.musinsa.com/products/5367961
15,노스페이스,보레알리스 25L/32L (2 color),141550,5,https://www.musinsa.com/products/6000596
16,알리스,[데일리룸X알리스] 페이디드 그레인 코튼 블루종 자켓 [빈티지그레이],115460,30,https://www.musinsa.com/products/5386037
17,수아레,데일리 헨리넥 니트 - 5 COLOR,29900,49,https://www.musinsa.com/products/5453617
18,헬리녹스 웨어,이클립스 라이트팩 15/20L (4 color),133200,10,https://www.musinsa.com/products/6016515
19,디마프,히어로 마이 퍼스트 세럼 a.k.a. 만능기초 155ml,20400,40,https://www.musinsa.com/products/5367381
20,잔스포츠,슈퍼패키지,65700,10,https://www.musinsa.com/products/5895083
21,후브스,패널 믹스드 집업 져지 [블랙],69800,40,https://www.musinsa.com/products/5936538
22,다슈,데일리 볼륨핏 스타일러 무선고데기 (+보조배터리 증정),80100,47,https://www.musinsa.com/products/6006404
23,나이키,ACG 라바 플로우 써마 핏 ADV 재킷 M - 블랙:서밋 화이트 / HJ3736-010,230300,30,https://www.musinsa.com/products/5502933
24,유니온블루,CRAFT HENLEY L/S T-SHIRT [GRAPHITE],40600,30,https://www.musinsa.com/products/5444596
25,효지,25 FW 워셔블 케이블 크롭 헨리넥 니트 (8컬러),35500,49,https://www.musinsa.com/products/5328224
26,텍스,TX304 커브드 배기 벌룬 데님 (블랙),34000,60,https://www.musinsa.com/products/5682006
27,노스페이스,NJ3BS04K 화이트라벨 노벨티 올레마 후디 CHARCOAL GREY,188100,5,https://www.musinsa.com/products/6015646
28,레더리,M-65 피쉬테일 오버핏 롱파카 [2COLOR],127360,36,https://www.musinsa.com/products/5498292
29,아디다스,클래식 트랙탑 - 블랙:화이트 / KE3527,109000,0,https://www.musinsa.com/products/5880366
30,아디다스,BB 트랙탑 - 블랙:크림화이트 / KC9299,106200,24,https://www.musinsa.com/products/5329567
31,매든,매든 X 탄산 퍼니 풀오버 후디 라이트 그레이,79900,20,https://www.musinsa.com/products/5873398
32,효지,25 FW 워셔블 에센셜 라운드 크롭 니트 가디건 (7컬러),39900,47,https://www.musinsa.com/products/5328219
33,아디다스,파이어버드  벨루어 트랙탑 - 샌드핑크 / KQ5480,116100,10,https://www.musinsa.com/products/5874496
34,리드볼트,오딧 캐리어 펄스레드 (3SIZE),305000,0,https://www.musinsa.com/products/5608856
35,수아레,라이트 시어쉘 패딩 점퍼 - 3 COLOR,85150,48,https://www.musinsa.com/products/5532467
36,다이브인,NECK ZIP DETAIL MA-1 JACKET (KHAKI),135200,20,https://www.musinsa.com/products/6036000
37,소버먼트,780G 솔리드 크롭 후디 집업-8%멜란지 그레이-,50400,45,https://www.musinsa.com/products/5316297
38,디미트리블랙,[10주년기획] © 모두의 커브드 치노 팬츠_4 COLOR,29900,40,https://www.musinsa.com/products/5864297
39,아캄,Washed Zipper Slit Denim Pants (Sky Blue),134400,20,https://www.musinsa.com/products/5476618
40,노스페이스,NM2DR66A 보레알리스 엠 BLACK,141550,5,https://www.musinsa.com/products/5920978
41,오찌,[오찌x로파서울] 토피 스웨이드 클로그 FLOTFA3W49,60730,24,https://www.musinsa.com/products/5427399
42,아웃스탠딩,[MUT lab] M-1943 FIELD JACKET_KHAKI,151200,10,https://www.musinsa.com/products/5936159
43,무신사 스탠다드,커브드 데님 팬츠 [딥 인디고],47490,5,https://www.musinsa.com/products/5815497
44,더콜디스트모먼트,TCM frame hooded zip-up (navy),70810,40,https://www.musinsa.com/products/5404492
45,무신사 스탠다드,커브드 데님 팬츠 [블랙],47490,5,https://www.musinsa.com/products/5815495
46,엠엘비,썸머 크로셰 미야옹 비니 NY (Black),43000,0,https://www.musinsa.com/products/5974717
47,비긴202,리지드 크롭 트러커 자켓 [캔버스 블랙],143200,20,https://www.musinsa.com/products/5941536
48,엘무드,페이즈 텐셀 트러커 자켓 카키,216000,10,https://www.musinsa.com/products/6034176
49,썬번프로젝트,"Logo Patch Hoodie Zip-up, PURPLE",118150,15,https://www.musinsa.com/products/5333962
50,아캄,Knitted Nylon Jacket (Black),206100,10,https://www.musinsa.com/products/5942021
51,뉴발란스,NBPDGS128F / U204L3K9 (BROWN),159000,0,https://www.musinsa.com/products/5845285
52,후브스,VTG 워시드 필드 자켓[네이비],104300,30,https://www.musinsa.com/products/5993587
53,무신사 스탠다드,솔리드 CP 커브드 치노 팬츠 [베이지],47490,5,https://www.musinsa.com/products/5755343
54,아디다스,BB 트랙탑 - 크림화이트 / KC3335,112500,19,https://www.musinsa.com/products/5329564
55,무신사 스탠다드,커브드 데님 팬츠 [라이트 인디고],47490,5,https://www.musinsa.com/products/5815498
56,애습,워시드 데님 블루종 - 블랙,149000,30,https://www.musinsa.com/products/6020947
57,9999아카이브,High Neck Oblique Pocket Jacket,151200,20,https://www.musinsa.com/products/5819287
58,언타이틀 서울,유니콘 바시티 엠블럼 후드 집업 블랙,46200,50,https://www.musinsa.com/products/5756056
59,유니온블루,CRAFT HENLEY L/S T-SHIRT [MELANGE GRAY],40600,30,https://www.musinsa.com/products/5444678
60,마인드브릿지,[ON]크롭 라운드넥 오버핏 데일리 니트 - 3color,29900,63,https://www.musinsa.com/products/5872042
61,후브스,블리치드 캔버스 워크 자켓[워시드브라운],99400,30,https://www.musinsa.com/products/5991558
62,와이케이,체크 아플리케 롤업 코튼 팬츠 블랙,49000,50,https://www.musinsa.com/products/5636311
63,플레어업,Layered Bustier Long Sleeve (FL-105_Gray),54200,39,https://www.musinsa.com/products/5861714
64,아디다스,후드 집업 - 로얄블루:화이트 / KC9318,85500,28,https://www.musinsa.com/products/5329362
65,블랙야크,남성 알라야 GTX 다운자켓#1_BK,699000,27,https://www.musinsa.com/products/5557991
66,레더리,뮤트 박스 레더 숄더백 [BLACK],59760,28,https://www.musinsa.com/products/5930165
67,넌블랭크,라운드 넥 시어서커 엠보싱 점퍼_DARK NAVY,202420,19,https://www.musinsa.com/products/5967827
68,락케이크,Boxer Layered Curved 2way Jogger - Black,83300,30,https://www.musinsa.com/products/5743668
69,노스페이스,NM2DS08A 핫 샷 BLACK,156750,5,https://www.musinsa.com/products/6041871
70,엘무드,리겔 울 실크 블렌드 스트라이프 자켓 다크 네이비,216000,10,https://www.musinsa.com/products/5973798
71,후브스,패널 컷오프 유넥 슬리브- 10Color,34200,40,https://www.musinsa.com/products/5937170
72,아웃스탠딩,[MUT lab] MOLESKIN FRENCH WORK JACKET_WASHED BLUE,130900,15,https://www.musinsa.com/products/5441768
73,무신사 스탠다드,와플 헨리 넥 긴소매 티셔츠 [미디엄 그레이],37990,5,https://www.musinsa.com/products/5838004
74,락케이크,Classic Henly Neck Top - Gray,30380,51,https://www.musinsa.com/products/5397926
75,아크테릭스,세륨 후디 남성 - SEA SALT / AJQSM10521,650000,0,https://www.musinsa.com/products/5966600
76,코드그라피,경량 후드 패딩_카키,79900,27,https://www.musinsa.com/products/5562220
77,썬번프로젝트,"B LOGO PATCH HOODIE ZIP-UP, CAMO",116100,10,https://www.musinsa.com/products/5957585
78,리바이스,567™ 릴렉스 플레어 진_A8630-0009,127200,20,https://www.musinsa.com/products/5932881
79,노스페이스,NJ1DS31M 화이트라벨 여성 코어라인 다운 자켓 LIGHT BLUE,311600,5,https://www.musinsa.com/products/6022304
80,디스커버리 익스페디션,유니 픽토르U 뉴퀼팅 다운 경량패딩 (BLACK),112770,37,https://www.musinsa.com/products/5466562
81,아디다스,3-스트라이프 숏 팬츠 프렌치 테리 - 블랙:화이트 / JW5109,33000,40,https://www.musinsa.com/products/5373167
82,아비브,오 드 퍼퓸 타입 N 50ml(+퍼퓸 2ml+쇼핑백 증정),45000,18,https://www.musinsa.com/products/5524898
83,락케이크,Check Layered 96 Wide 2way Jogger - Black,66940,44,https://www.musinsa.com/products/5398073
84,애습,세미 커브드 와이드 데님 - 흑청,59800,30,https://www.musinsa.com/products/6019972
85,스웨이드,CROPPED WASHED HOOD ZIP UP [DEEP GREEN],76300,30,https://www.musinsa.com/products/5339694
86,디스이즈네버댓,T-Logo Hoodie Heather Grey,87200,20,https://www.musinsa.com/products/5438121
87,카네이테이,[2PACK] EASY FLOW CHECK SHIRTS (4colors),54400,64,https://www.musinsa.com/products/5606655
88,애쓰,HARD PIECE Mail Bag_Blue,49170,29,https://www.musinsa.com/products/5872886
89,디미트리블랙,[10주년기획] © 모두의 밴딩 커브드 슬랙스_3 COLOR,27900,44,https://www.musinsa.com/products/5945210
90,디미트리블랙,[핏 선택] 포시즌 에센셜 원턱 커브드 스웻 팬츠_2COLOR,25000,44,https://www.musinsa.com/products/5864294
91,아식스,젤-1130 - 블랙:크림 / 1203A609-001,119000,0,https://www.musinsa.com/products/5876512
92,비터셀즈,[2 PACK-컬러추가]에센셜 골지 티-11 colors,49140,37,https://www.musinsa.com/products/5334425
93,후브스,패널 헨리넥 후디 슬리브- 8Color,49800,40,https://www.musinsa.com/products/5937012
94,뉴발란스,NBPDGS197I / U204LMMC (IVORY),159000,0,https://www.musinsa.com/products/5981567
95,노스페이스,NJ1DS57A 남성 루타 다운 자켓 (RDS) BLACK,284050,5,https://www.musinsa.com/products/5407535
96,코오롱스포츠,남녀공용 어프로치 슈즈 811 GTX FE4XX26150MIN,290000,0,https://www.musinsa.com/products/5975039
97,디앤에스알,[온플릭xDNSR] 레이어드 보트넥 롱슬리브 네이비,70400,20,https://www.musinsa.com/products/6033887
98,미나브,[패션플래닛X미나브] 슬라우치 캔버스백 [워시드차콜],62100,30,https://www.musinsa.com/products/5932699
99,데이,크롭 스웨이드 바이커 자켓_BROWN,55500,20,https://www.musinsa.com/products/5424825
100,디미트리블랙,피그먼트 트랙 니트 후드 집업_피그먼트 차콜,39990,40,https://www.musinsa.com/products/5478151
